date,asset,rolling_beta
2024-02-29,UNH,-0.13392562055109955
2024-03-01,UNH,-0.1579194940032835
2024-03-04,UNH,-0.16707736609352794
2024-03-05,UNH,-0.090792917003192
2024-03-06,UNH,-0.08059330206399945
2024-03-07,UNH,-0.03448231457297588
2024-03-08,UNH,-0.03634351698374305
2024-03-11,UNH,-0.061628173190041255
2024-03-12,UNH,-0.05764443302792514
2024-03-13,UNH,-0.05016115228150702
2024-03-14,UNH,-0.059195257408662896
2024-03-15,UNH,-0.10626246205600201
2024-03-18,UNH,-0.10004857807625138
2024-03-19,UNH,-0.08609349113897065
2024-03-20,UNH,-0.06810541536037826
2024-03-21,UNH,-0.06517708717770275
2024-03-22,UNH,-0.14719825896603905
2024-03-25,UNH,-0.160582951867506
2024-03-26,UNH,-0.17710579744815133
2024-03-27,UNH,-0.1692631221767035
2024-03-28,UNH,-0.17201526370689266
2024-04-01,UNH,-0.1589528106649383
2024-04-02,UNH,0.019223406712363295
2024-04-03,UNH,0.0847305761602779
2024-04-04,UNH,0.13892026321769196
2024-04-05,UNH,0.1606476648852781
2024-04-08,UNH,0.15798478873351904
2024-04-09,UNH,0.16183645723817836
2024-04-10,UNH,0.2322695994509699
2024-04-11,UNH,0.19645073214738437
2024-04-12,UNH,0.19899856903827506
2024-04-15,UNH,0.11553885732192551
2024-04-16,UNH,0.06762037629954211
2024-04-17,UNH,0.0450911648634414
2024-04-18,UNH,0.055674717169332213
2024-04-19,UNH,0.09797929976896283
2024-04-22,UNH,0.03676878649920144
2024-04-23,UNH,0.000936751568333014
2024-04-24,UNH,0.00029703593104275203
2024-04-25,UNH,0.035670499008781414
2024-04-26,UNH,0.05293285840530901
2024-04-29,UNH,0.03763259362882078
2024-04-30,UNH,0.08000521523727142
2024-05-01,UNH,0.16473935035514178
2024-05-02,UNH,0.24718279063405046
2024-05-03,UNH,0.22349523774585742
2024-05-06,UNH,0.21289385890913745
2024-05-07,UNH,0.20515683138796637
2024-05-08,UNH,0.1699888228728945
2024-05-09,UNH,0.18017200084628057
2024-05-10,UNH,0.18840122506699028
2024-05-13,UNH,0.18842257963145836
2024-05-14,UNH,0.19757304771370107
2024-05-15,UNH,0.21744645033711454
